20,"[[793.2693481445312, 321.7297668457031, 822.1740112304688, 344.6455993652344], [782.2191772460938, 321.3968811035156, 811.6766967773438, 344.9245910644531], [768.52978515625, 319.99932861328125, 799.841064453125, 344.97515869140625], [759.1182861328125, 321.0998840332031, 788.406005859375, 344.0623474121094], [743.4981079101562, 320.0323181152344, 772.2960815429688, 342.7423400878906], [735.3322143554688, 318.77325439453125, 764.8965454101562, 343.65887451171875], [723.0401000976562, 318.1642150878906, 754.2138061523438, 342.7134094238281], [712.393798828125, 318.88623046875, 742.5615234375, 342.27813720703125]]"
21,"[[1051.541748046875, 348.35601806640625, 1121.640869140625, 412.81842041015625]]"
22,"[[1127.999755859375, 364.39208984375, 1279.041748046875, 498.75341796875], [1117.849365234375, 368.16131591796875, 1279.945068359375, 505.10797119140625], [1119.415771484375, 365.1528625488281, 1279.81396484375, 506.228271484375], [1124.89697265625, 365.7132873535156, 1279.518310546875, 511.1097412109375], [1124.69677734375, 367.7702331542969, 1280.0, 518.4205322265625], [1126.12841796875, 366.3589782714844, 1278.62646484375, 522.021484375], [1129.6639404296875, 369.5635986328125, 1278.6536865234375, 525.3043212890625], [1133.5892333984375, 375.05206298828125, 1279.8695068359375, 520.2720947265625], [1135.615966796875, 373.61639404296875, 1278.879638671875, 526.7906494140625], [1147.380126953125, 375.4651184082031, 1279.293701171875, 528.5532836914062], [1150.3966064453125, 374.76422119140625, 1279.0875244140625, 533.48193359375], [1181.8519287109375, 382.2724304199219, 1279.5272216796875, 523.8967895507812], [1188.5103759765625, 383.57794189453125, 1279.5943603515625, 530.3394775390625], [1198.7415771484375, 391.3475036621094, 1279.4468994140625, 542.3306884765625], [1196.162841796875, 397.306884765625, 1279.174560546875, 550.546875], [1221.654541015625, 398.0592041015625, 1280.0, 552.0775146484375], [1254.9869384765625, 408.0101318359375, 1280.0, 550.887451171875]]"
23,"[[783.7378540039062, 290.0267639160156, 800.4389038085938, 344.1654968261719], [818.6107177734375, 315.6131591796875, 834.828125, 363.95428466796875], [775.9832153320312, 280.71746826171875, 797.6337280273438, 345.04547119140625], [800.6875, 313.3329162597656, 817.0933837890625, 360.7987976074219], [785.9844360351562, 312.4844970703125, 803.3639526367188, 362.96136474609375]]"
24,"[[641.7785034179688, 313.28656005859375, 674.3892211914062, 339.50347900390625], [628.7775268554688, 313.1802978515625, 659.8433227539062, 339.18768310546875], [617.849365234375, 313.200927734375, 649.1954345703125, 338.43798828125], [609.229736328125, 311.3172302246094, 641.83349609375, 338.7218933105469], [595.7634887695312, 311.9985046386719, 628.1443481445312, 338.6874084472656]]"
25,"[[1177.1644287109375, 313.8177490234375, 1279.9908447265625, 371.87042236328125]]"
26,"[[754.6497192382812, 309.5516357421875, 771.3900756835938, 363.24420166015625], [748.2756958007812, 312.7304382324219, 764.0989379882812, 361.1849670410156], [735.7197265625, 313.3086242675781, 751.526123046875, 361.8383483886719], [729.4354248046875, 313.93389892578125, 744.864013671875, 362.5833740234375], [712.2005004882812, 313.69219970703125, 726.7783813476562, 361.64093017578125], [709.4049682617188, 311.3846435546875, 725.4004516601562, 360.2408447265625], [672.0538940429688, 278.5501403808594, 689.1372680664062, 339.4049377441406], [663.8803100585938, 273.5740051269531, 682.1820678710938, 339.9731140136719], [702.25244140625, 311.279541015625, 717.94482421875, 361.65521240234375]]"
27,"[[569.9169921875, 311.621337890625, 604.1160888671875, 338.14617919921875], [567.0343017578125, 311.3628845214844, 599.8013916015625, 337.8565368652344], [557.8388671875, 309.38201904296875, 592.7872314453125, 337.82598876953125], [552.5713500976562, 309.867431640625, 587.7084350585938, 337.77667236328125], [543.5092163085938, 310.35748291015625, 579.1307983398438, 337.50634765625], [537.1658935546875, 309.6414489746094, 572.0029296875, 336.8787536621094], [526.6838989257812, 307.549560546875, 562.8681030273438, 335.6986083984375], [514.9160766601562, 306.82281494140625, 550.0890502929688, 334.75762939453125], [512.646484375, 306.2748718261719, 548.592529296875, 334.6927795410156], [511.2480773925781, 306.3962097167969, 547.7963256835938, 334.9808044433594], [506.7712097167969, 306.2919921875, 544.0960693359375, 334.068115234375], [502.5071716308594, 305.0369873046875, 539.373779296875, 333.8682861328125], [496.7640380859375, 304.72845458984375, 534.5113525390625, 332.86260986328125], [494.18511962890625, 304.2171630859375, 532.2910766601562, 333.40484619140625], [491.12762451171875, 304.1084899902344, 529.0010375976562, 333.3274230957031], [488.265380859375, 303.5816650390625, 526.9244995117188, 333.17034912109375], [486.738037109375, 303.73516845703125, 525.1420288085938, 333.073974609375], [485.4002990722656, 304.0809326171875, 524.86474609375, 333.4488525390625], [483.2183532714844, 303.8382263183594, 524.2520751953125, 333.1677551269531], [481.5570068359375, 302.1185302734375, 522.830322265625, 332.109130859375], [481.019287109375, 301.6890869140625, 522.5400390625, 332.26019287109375], [480.84710693359375, 300.4572448730469, 523.1739501953125, 332.0179138183594], [480.9559326171875, 300.4744567871094, 523.4472045898438, 331.8362121582031], [480.9942321777344, 299.7760314941406, 525.567138671875, 332.1625671386719], [483.4306640625, 299.66949462890625, 526.5123291015625, 331.57427978515625], [485.3532409667969, 299.43475341796875, 527.9080200195312, 331.72412109375], [488.4479675292969, 300.0392761230469, 531.4180908203125, 331.6986999511719], [489.2696228027344, 299.5065612792969, 532.53466796875, 332.1866149902344], [490.4382019042969, 298.34954833984375, 534.8010864257812, 332.40106201171875], [492.7191467285156, 297.83111572265625, 537.0047607421875, 331.91748046875], [493.218017578125, 297.6409912109375, 538.3033447265625, 331.4464111328125], [494.2359924316406, 296.5562744140625, 540.1571655273438, 330.72674560546875], [495.239013671875, 296.5372619628906, 542.668701171875, 330.9155578613281], [497.3650207519531, 295.93218994140625, 545.2942504882812, 330.1895751953125], [497.7449951171875, 295.77130126953125, 546.7698974609375, 330.16351318359375], [500.766845703125, 295.98443603515625, 549.033447265625, 330.89007568359375], [502.4184875488281, 296.0151672363281, 551.0977783203125, 331.8162536621094], [504.8467712402344, 295.89190673828125, 552.9491577148438, 331.8519287109375], [506.4225158691406, 295.8786926269531, 554.6781005859375, 331.4194641113281], [507.7249450683594, 295.4114990234375, 555.9754028320312, 330.13165283203125], [509.2042236328125, 295.21612548828125, 558.348388671875, 329.7742919921875], [510.4504089355469, 294.87017822265625, 560.8527221679688, 330.04779052734375], [512.2758178710938, 294.9886169433594, 563.0711059570312, 330.9894714355469], [514.8836059570312, 294.8036804199219, 568.1089477539062, 332.0436706542969], [517.35400390625, 294.73797607421875, 569.401611328125, 332.1202392578125], [519.678466796875, 294.5646057128906, 569.656005859375, 331.9062194824219], [522.3939208984375, 294.6705017089844, 575.0985107421875, 331.8785705566406], [523.8326416015625, 294.2172546386719, 577.30078125, 332.1542053222656], [525.5047607421875, 293.6559143066406, 577.7049560546875, 332.2149353027344], [527.1218872070312, 291.8645324707031, 583.7820434570312, 331.9381408691406], [529.4541015625, 290.0626525878906, 586.2872314453125, 331.6938171386719], [533.3031005859375, 290.09173583984375, 591.1707763671875, 330.857177734375], [534.646728515625, 289.818603515625, 593.0185546875, 331.2501220703125], [537.5271606445312, 289.7845153808594, 594.2999877929688, 332.5403137207031], [539.19140625, 290.7466735839844, 598.1026611328125, 332.8939514160156], [541.3377685546875, 291.64276123046875, 602.1492919921875, 333.984130859375], [543.7868041992188, 291.739501953125, 603.6591186523438, 334.5306396484375], [546.5914306640625, 293.0583801269531, 606.8388671875, 334.9070739746094], [548.2987060546875, 291.6706848144531, 609.34033203125, 335.1648254394531], [549.978759765625, 290.815185546875, 610.5782470703125, 335.7523193359375], [551.2191772460938, 293.04742431640625, 613.3471069335938, 336.40594482421875], [552.6896362304688, 294.3368225097656, 615.4580688476562, 338.2519836425781], [553.3416748046875, 296.0357666015625, 617.384033203125, 341.918212890625], [554.9425659179688, 298.37957763671875, 619.8191528320312, 346.21844482421875], [556.2404174804688, 301.9918518066406, 623.7095336914062, 350.0909729003906], [556.4989624023438, 304.1237487792969, 626.0353393554688, 351.8575744628906], [558.2203979492188, 307.8363037109375, 626.5636596679688, 354.83782958984375], [560.1080322265625, 309.8692932128906, 630.0582275390625, 358.0921325683594], [560.15966796875, 311.0218811035156, 631.29736328125, 360.5872497558594], [561.3655395507812, 311.6771240234375, 634.7396850585938, 362.795166015625], [562.9931640625, 311.7076721191406, 635.964111328125, 363.3411560058594], [564.0697631835938, 311.915771484375, 639.7175903320312, 364.2440185546875], [565.1583862304688, 311.7405700683594, 641.3534545898438, 365.4090270996094], [565.34912109375, 313.0511474609375, 643.4296875, 366.96136474609375], [565.545166015625, 313.7312927246094, 644.6070556640625, 368.3119201660156], [564.9150390625, 314.269287109375, 645.210693359375, 369.68621826171875], [564.6336059570312, 315.8277587890625, 645.2661743164062, 370.83978271484375], [564.7421264648438, 315.8861389160156, 646.5014038085938, 372.6734313964844], [564.267333984375, 315.6685485839844, 647.025146484375, 373.0353088378906], [563.5243530273438, 314.4324645996094, 646.9485473632812, 373.2996520996094], [562.85546875, 313.8924865722656, 648.6331787109375, 373.8359069824219], [561.2551879882812, 311.934326171875, 648.5758666992188, 372.93780517578125], [560.68310546875, 311.2548828125, 648.684326171875, 372.96673583984375], [558.9998779296875, 310.5047912597656, 648.82177734375, 372.2166442871094], [555.6068115234375, 310.2541809082031, 648.4368896484375, 373.4088439941406], [552.7991943359375, 310.46148681640625, 647.0750732421875, 374.8060302734375], [549.3030395507812, 310.6156005859375, 646.5283813476562, 377.59259033203125], [546.1077880859375, 313.2060546875, 644.0089111328125, 381.697021484375], [540.8101196289062, 315.0120544433594, 641.2483520507812, 386.6731872558594], [534.2705078125, 317.19537353515625, 637.086669921875, 390.8720703125], [528.3280029296875, 318.6597900390625, 632.7947998046875, 392.84466552734375], [518.8990478515625, 320.27264404296875, 628.1612548828125, 396.88751220703125], [509.7575988769531, 323.85943603515625, 620.808349609375, 401.61993408203125], [497.6423034667969, 324.1573486328125, 614.5186767578125, 405.12237548828125], [488.3555603027344, 323.8251037597656, 610.109619140625, 406.4348449707031], [479.3133544921875, 323.5920104980469, 602.0977783203125, 408.6080017089844], [463.3439025878906, 322.9128112792969, 592.8255615234375, 410.0758972167969], [447.300537109375, 324.26611328125, 582.974853515625, 416.55731201171875], [437.9296569824219, 324.0986633300781, 577.0421142578125, 417.6539001464844], [427.7693176269531, 323.15081787109375, 571.154052734375, 420.20025634765625], [415.50946044921875, 325.063232421875, 563.8199462890625, 423.6295166015625], [395.9461669921875, 322.3924560546875, 552.3760986328125, 426.58685302734375], [381.11431884765625, 323.6033630371094, 543.50048828125, 431.4121398925781], [369.0645751953125, 322.9341735839844, 539.249755859375, 433.0894470214844], [355.0051574707031, 323.8021545410156, 531.3953247070312, 436.5500183105469], [337.619384765625, 322.84515380859375, 525.7733764648438, 440.77691650390625], [321.466552734375, 322.0483703613281, 517.8750610351562, 445.1177062988281], [301.29107666015625, 321.8421936035156, 510.46832275390625, 452.4694519042969], [284.2568359375, 320.9998474121094, 502.8116455078125, 455.2715148925781], [263.3959045410156, 320.70477294921875, 496.7056579589844, 462.309326171875], [233.76129150390625, 319.96356201171875, 486.26116943359375, 470.26348876953125], [217.79501342773438, 320.9619445800781, 482.4398498535156, 476.2814636230469], [190.17037963867188, 319.5672607421875, 476.0717468261719, 484.7503662109375], [147.18063354492188, 322.3694763183594, 465.8553771972656, 496.910400390625], [110.56158447265625, 319.95318603515625, 454.3548583984375, 507.76995849609375], [65.9990234375, 320.32666015625, 443.4281921386719, 517.89892578125], [35.425994873046875, 319.0903625488281, 441.4266357421875, 525.1527099609375], [0.4126739501953125, 317.5338439941406, 423.91357421875, 550.8496704101562], [1.8115692138671875, 319.0140380859375, 415.32080078125, 560.9453735351562], [2.7943267822265625, 323.82318115234375, 401.91754150390625, 582.9268798828125], [2.7865753173828125, 323.5172424316406, 387.9927978515625, 612.9969482421875], [1.7154388427734375, 325.2654724121094, 372.35955810546875, 646.07666015625], [0.9228973388671875, 327.45208740234375, 353.35980224609375, 692.4441528320312], [1.1185150146484375, 330.0442810058594, 326.60369873046875, 704.217041015625], [0.9680633544921875, 332.893798828125, 310.77398681640625, 654.55859375], [0.2058868408203125, 335.0252685546875, 284.08782958984375, 650.47265625], [0.78192138671875, 346.921142578125, 253.8392333984375, 646.1922607421875], [1.1439285278320312, 373.7847900390625, 219.11395263671875, 639.938720703125], [1.3572921752929688, 417.39825439453125, 177.09405517578125, 635.8584594726562], [1.1891250610351562, 444.8510437011719, 129.4996337890625, 669.8949584960938]]"
28,"[[934.5570068359375, 342.21728515625, 1084.0330810546875, 423.7674560546875], [932.7685546875, 333.08673095703125, 1118.24755859375, 425.533935546875], [931.5276489257812, 327.00048828125, 1117.563720703125, 425.62139892578125], [939.7648315429688, 328.9689636230469, 1142.433837890625, 429.6435241699219], [941.1845092773438, 329.4356994628906, 1152.570556640625, 431.4612731933594], [942.389892578125, 329.6343688964844, 1210.632568359375, 433.6389465332031], [951.4700927734375, 328.85205078125, 1247.1358642578125, 434.669189453125], [958.922119140625, 327.6557312011719, 1255.95654296875, 439.4465026855469], [960.0263671875, 329.2003173828125, 1228.174072265625, 441.7012939453125], [967.151123046875, 328.2270812988281, 1217.477783203125, 442.9688415527344], [976.7503662109375, 328.3326721191406, 1232.0904541015625, 449.0011901855469], [988.7628784179688, 325.3624572753906, 1256.47119140625, 453.4054260253906], [999.7613525390625, 323.17138671875, 1275.2418212890625, 468.66546630859375], [1013.0506591796875, 323.0309143066406, 1275.0738525390625, 480.9009094238281], [1029.7503662109375, 324.2925109863281, 1276.9285888671875, 486.6775817871094], [1046.9454345703125, 320.8540344238281, 1279.3419189453125, 495.7032470703125], [1064.6636962890625, 321.6837158203125, 1277.5540771484375, 494.75], [1091.58544921875, 330.3465270996094, 1279.1552734375, 486.9693298339844], [1108.735107421875, 337.2066345214844, 1279.31689453125, 492.37225341796875], [1135.43212890625, 352.8348083496094, 1279.55908203125, 500.8201904296875], [1176.4591064453125, 374.36212158203125, 1279.4554443359375, 495.58111572265625], [1200.8779296875, 384.21722412109375, 1279.972900390625, 494.30340576171875]]"
29,"[[1092.919677734375, 290.66705322265625, 1109.287841796875, 332.67547607421875], [1090.051025390625, 285.5025634765625, 1107.168212890625, 329.6705322265625]]"
